Model,Accuracy,Precision,Recall,F1-Score
CatBoost,0.8818897637795275,0.8846153846153846,0.9035714285714286,0.8939929328621908
Random Forest,0.860236220472441,0.8856088560885609,0.8571428571428571,0.8711433756805808
CatBoost with UMAP 133 components,0.8287401574803149,0.8385964912280702,0.8535714285714285,0.8460176991150442
CatBoost from UMAP reduced ProtBert embeddings,0.8149606299212598,0.8229166666666666,0.8464285714285714,0.8345070422535211
Decision Tree,0.8051181102362205,0.802675585284281,0.8571428571428571,0.8290155440414507
Logistic Regression,0.8011811023622047,0.8075601374570447,0.8392857142857143,0.8231173380035026
SVM,0.5964566929133859,0.5994694960212201,0.8071428571428572,0.6879756468797564
