model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_grid_1_AutoML_5_20250401_11303_model_10,6277.806207403165,39410850.77770972,3436.564880716904,3.327825245331957,39410850.77770972
GBM_grid_1_AutoML_5_20250401_11303_model_8,6281.913493913723,39462437.14501532,3092.364288811078,,39462437.14501532
GBM_grid_1_AutoML_5_20250401_11303_model_38,6281.913493913723,39462437.14501532,3092.364288811078,,39462437.14501532
XGBoost_grid_1_AutoML_5_20250401_11303_model_6,6282.2708704605375,39466927.289837,3328.907966479765,,39466927.289837
GBM_grid_1_AutoML_5_20250401_11303_model_42,6286.726091212403,39522924.94593078,3371.5990760980358,,39522924.94593078
GBM_grid_1_AutoML_5_20250401_11303_model_12,6295.690788195828,39635722.50057381,3481.590764177713,3.361558138442589,39635722.50057381
GBM_grid_1_AutoML_5_20250401_11303_model_37,6316.663653344939,39900239.70948903,3370.7384400478177,3.2769291824221685,39900239.70948903
GBM_grid_1_AutoML_5_20250401_11303_model_43,6318.363534861903,39921717.7586726,3481.268847951502,3.335756378333193,39921717.7586726
XGBoost_grid_1_AutoML_5_20250401_11303_model_13,6320.331263277785,39946587.27756656,2943.359942523603,,39946587.27756656
StackedEnsemble_AllModels_1_AutoML_5_20250401_11303,6324.262123386727,39996291.40530399,3356.995768406884,,39996291.40530399
GBM_grid_1_AutoML_5_20250401_11303_model_36,6334.064318364213,40120370.78917471,3520.557202867196,3.354971039937555,40120370.78917471
XGBoost_grid_1_AutoML_5_20250401_11303_model_14,6336.059393545072,40145648.63853075,2950.408072071948,,40145648.63853075
XGBoost_2_AutoML_5_20250401_11303,6337.958960598316,40169723.78622848,3229.0922135703267,,40169723.78622848
GBM_grid_1_AutoML_5_20250401_11303_model_41,6339.701304734687,40191812.63325469,3516.419875722177,3.354642700758353,40191812.63325469
XGBoost_grid_1_AutoML_5_20250401_11303_model_8,6353.539747703908,40367467.32565344,3252.3506382013006,,40367467.32565344
StackedEnsemble_AllModels_5_AutoML_5_20250401_11303,6360.162006579812,40451660.74994133,3486.590223603981,,40451660.74994133
StackedEnsemble_BestOfFamily_5_AutoML_5_20250401_11303,6361.304302006027,40466192.42272038,3453.4598564220046,,40466192.42272038
XGBoost_grid_1_AutoML_5_20250401_11303_model_16,6374.96618956389,40640193.91808274,3097.07981610394,,40640193.91808274
XGBoost_grid_1_AutoML_5_20250401_11303_model_7,6389.878464714878,40830546.79382697,3073.6657897005125,,40830546.79382697
DeepLearning_grid_2_AutoML_5_20250401_11303_model_1,6395.192709361624,40898489.78987207,3089.373309059707,,40898489.78987207
DeepLearning_1_AutoML_5_20250401_11303,6399.971692801595,40959637.66866171,3469.901422219675,,40959637.66866171
DRF_1_AutoML_5_20250401_11303,6402.612294736006,40993444.19670466,3115.600259191248,2.987936176966884,40993444.19670466
DeepLearning_grid_1_AutoML_5_20250401_11303_model_15,6432.104444478056,41371967.58467435,3576.970920277151,,41371967.58467435
XRT_1_AutoML_5_20250401_11303,6433.456921680073,41389367.96311323,3324.277644730625,3.0667755732675497,41389367.96311323
XGBoost_1_AutoML_5_20250401_11303,6439.15669348673,41462738.92327495,3728.754744023191,,41462738.92327495
DeepLearning_grid_3_AutoML_5_20250401_11303_model_2,6445.6663687145765,41546614.93677816,3526.966910355237,,41546614.93677816
DeepLearning_grid_1_AutoML_5_20250401_11303_model_5,6454.17405146153,41656362.68655935,3560.4158379512064,,41656362.68655935
DeepLearning_grid_2_AutoML_5_20250401_11303_model_2,6485.890371881466,42066773.9160647,3586.2278470486726,,42066773.9160647
DeepLearning_grid_1_AutoML_5_20250401_11303_model_3,6496.101073254203,42199329.1539344,3503.329330009539,,42199329.1539344
GBM_5_AutoML_5_20250401_11303,6526.828116559336,42599485.26310949,3191.667216550923,,42599485.26310949
GBM_grid_1_AutoML_5_20250401_11303_model_17,6527.168146545517,42603924.01327843,3214.594697783573,,42603924.01327843
DeepLearning_grid_1_AutoML_5_20250401_11303_model_6,6542.448938350455,42803638.110923,3562.799448986959,,42803638.110923
DeepLearning_grid_2_AutoML_5_20250401_11303_model_3,6583.148045606479,43337838.19037241,4045.9597445640456,,43337838.19037241
DeepLearning_grid_3_AutoML_5_20250401_11303_model_1,6655.904347027329,44301062.676777296,2892.709755642584,,44301062.676777296
DeepLearning_grid_1_AutoML_5_20250401_11303_model_14,6671.667639822786,44511149.09625855,4016.8713700324456,,44511149.09625855
GBM_grid_1_AutoML_5_20250401_11303_model_1,6672.9943926374135,44528854.16417036,3318.7229217220365,,44528854.16417036
XGBoost_grid_1_AutoML_5_20250401_11303_model_11,6689.421896728077,44748365.31242506,3136.3629814702485,,44748365.31242506
XGBoost_grid_1_AutoML_5_20250401_11303_model_3,6737.339251577764,45391740.19085043,3217.09895035848,,45391740.19085043
DeepLearning_grid_1_AutoML_5_20250401_11303_model_4,6744.811302118295,45492479.5011827,3635.8668991233794,,45492479.5011827
XGBoost_grid_1_AutoML_5_20250401_11303_model_1,7053.417315275787,49750695.82343228,3376.1611330906194,2.795366029286881,49750695.82343228
DeepLearning_grid_1_AutoML_5_20250401_11303_model_13,7159.128053322351,51253114.48386707,4319.075902953084,,51253114.48386707
XGBoost_grid_1_AutoML_5_20250401_11303_model_5,7288.814437159567,53126815.89934574,3413.9443848496035,2.8385822573364297,53126815.89934574
XGBoost_grid_1_AutoML_5_20250401_11303_model_2,7537.426672860502,56812800.84874893,3406.605297295217,,56812800.84874893
