model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_1_AutoML_5_20250330_174012,6370.696746666465,40585777.03798667,3566.6558227357264,,40585777.03798667
XGBoost_grid_1_AutoML_5_20250330_174012_model_41,6370.757629140523,40586552.76925218,3485.3848284173223,,40586552.76925218
DeepLearning_grid_1_AutoML_5_20250330_174012_model_3,6376.686124339344,40662125.928341925,3351.0054076358,,40662125.928341925
XGBoost_grid_1_AutoML_5_20250330_174012_model_32,6377.721889333408,40675336.4976825,3739.510096395122,,40675336.4976825
DeepLearning_grid_2_AutoML_5_20250330_174012_model_2,6381.304981566866,40721053.2677701,3838.6682749027577,,40721053.2677701
XGBoost_grid_1_AutoML_5_20250330_174012_model_23,6383.521925861653,40749352.17795646,3606.7936708938864,,40749352.17795646
DeepLearning_grid_1_AutoML_5_20250330_174012_model_6,6388.517476902198,40813155.55268482,3424.324536827976,,40813155.55268482
GBM_grid_1_AutoML_5_20250330_174012_model_3,6409.364238174355,41079949.93758833,3414.3702117612934,,41079949.93758833
XGBoost_grid_1_AutoML_5_20250330_174012_model_30,6409.719757155503,41084507.3652696,3295.9252550592378,,41084507.3652696
XGBoost_grid_1_AutoML_5_20250330_174012_model_29,6421.135711797191,41230983.82931722,3677.031751145316,,41230983.82931722
XGBoost_2_AutoML_5_20250330_174012,6424.317195903247,41271851.43357816,3599.043189745822,,41271851.43357816
StackedEnsemble_Best1000_1_AutoML_5_20250330_174012,6430.153671891431,41346876.24413886,3486.6459360067847,,41346876.24413886
GBM_grid_1_AutoML_5_20250330_174012_model_40,6437.15517007585,41436966.68363424,3621.81472457196,,41436966.68363424
XGBoost_grid_1_AutoML_5_20250330_174012_model_21,6441.137589335439,41488253.44474995,3471.332409071603,,41488253.44474995
XGBoost_grid_1_AutoML_5_20250330_174012_model_16,6454.001012481053,41654129.06910646,3645.333318042435,,41654129.06910646
XGBoost_grid_1_AutoML_5_20250330_174012_model_40,6456.735225286491,41689429.7694554,3357.707317602315,,41689429.7694554
DeepLearning_1_AutoML_5_20250330_174012,6457.316312447526,41696933.95900092,3675.241287414284,,41696933.95900092
XGBoost_grid_1_AutoML_5_20250330_174012_model_17,6458.915378874096,41717587.87145631,3647.769224071183,,41717587.87145631
GBM_grid_1_AutoML_5_20250330_174012_model_8,6463.67311983535,41779070.20008204,3633.791146427686,,41779070.20008204
GBM_grid_1_AutoML_5_20250330_174012_model_38,6466.123957862977,41810759.03844956,3625.11304596411,,41810759.03844956
DeepLearning_grid_3_AutoML_5_20250330_174012_model_2,6476.121624608271,41940151.29671887,3775.539371816725,,41940151.29671887
XGBoost_grid_1_AutoML_5_20250330_174012_model_15,6491.622668808769,42141164.87419189,3931.871699788421,,42141164.87419189
XGBoost_grid_1_AutoML_5_20250330_174012_model_27,6492.206474692547,42148744.91003984,3469.3294771898004,,42148744.91003984
DeepLearning_grid_3_AutoML_5_20250330_174012_model_3,6501.085191484692,42264108.66694155,3878.097778372669,,42264108.66694155
DRF_1_AutoML_5_20250330_174012,6511.881044799907,42404594.741624326,3413.8125031383297,3.006808262738397,42404594.741624326
DeepLearning_grid_2_AutoML_5_20250330_174012_model_3,6523.396159791591,42554697.45758368,3820.4456742859015,,42554697.45758368
XGBoost_grid_1_AutoML_5_20250330_174012_model_85,6524.849254348179,42573657.79196798,3568.3433451683395,,42573657.79196798
XGBoost_1_AutoML_5_20250330_174012,6591.354752553811,43445957.47401371,3764.310375570932,,43445957.47401371
XGBoost_3_AutoML_5_20250330_174012,6607.467033657308,43658620.600868106,3649.103509777891,,43658620.600868106
DeepLearning_grid_1_AutoML_5_20250330_174012_model_1,6610.27353913722,43695716.2622177,4456.572647456645,,43695716.2622177
XGBoost_grid_1_AutoML_5_20250330_174012_model_11,6619.862214709161,43822575.74173408,3587.606864682798,,43822575.74173408
XGBoost_grid_1_AutoML_5_20250330_174012_model_7,6627.366739760529,43921989.903284095,3695.2352387554943,,43921989.903284095
StackedEnsemble_BestOfFamily_5_AutoML_5_20250330_174012,6646.236441097168,44172458.83096794,3784.710744097749,,44172458.83096794
XGBoost_grid_1_AutoML_5_20250330_174012_model_13,6650.846790501142,44233763.03071934,3650.974948425485,,44233763.03071934
XGBoost_grid_1_AutoML_5_20250330_174012_model_37,6654.419792325254,44281302.77249008,3929.2439030678142,,44281302.77249008
GBM_grid_1_AutoML_5_20250330_174012_model_1,6680.517314599961,44629311.59066987,3687.279306785936,,44629311.59066987
XGBoost_grid_1_AutoML_5_20250330_174012_model_12,6688.641867322907,44737930.02930486,3704.240532357033,,44737930.02930486
XGBoost_grid_1_AutoML_5_20250330_174012_model_3,6699.175604397763,44878953.778558135,3749.7153376229103,,44878953.778558135
XGBoost_grid_1_AutoML_5_20250330_174012_model_8,6735.2803133694215,45364000.8996617,3782.99207005405,,45364000.8996617
XRT_1_AutoML_5_20250330_174012,6735.676322901548,45369335.526896514,3674.901583316688,3.060825009048712,45369335.526896514
XGBoost_grid_1_AutoML_5_20250330_174012_model_19,6745.76953635243,45505406.63758048,3477.9533878425405,,45505406.63758048
XGBoost_grid_1_AutoML_5_20250330_174012_model_35,6785.277222783824,46039986.99002897,3889.0373404825377,,46039986.99002897
DeepLearning_grid_1_AutoML_5_20250330_174012_model_7,6796.442318338339,46191628.18650021,4488.472422827154,,46191628.18650021
XGBoost_grid_1_AutoML_5_20250330_174012_model_10,6816.933987984252,46470588.99653488,3890.9547291411886,,46470588.99653488
StackedEnsemble_AllModels_5_AutoML_5_20250330_174012,6830.718853309876,46658720.05296299,3855.744107340161,,46658720.05296299
XGBoost_grid_1_AutoML_5_20250330_174012_model_9,6878.305022852587,47311079.98739912,3924.8570217435913,,47311079.98739912
XGBoost_grid_1_AutoML_5_20250330_174012_model_2,6904.584112007808,47673281.75979064,3671.9439713453608,2.9545264855949167,47673281.75979064
XGBoost_grid_1_AutoML_5_20250330_174012_model_86,6966.584887288814,48533304.99180089,3990.162239850951,,48533304.99180089
GBM_5_AutoML_5_20250330_174012,6971.4880227312815,48601645.25108571,3786.1322698179824,,48601645.25108571
XGBoost_grid_1_AutoML_5_20250330_174012_model_31,7368.715621300615,54297969.9075997,3822.8063387145953,,54297969.9075997
XGBoost_grid_1_AutoML_5_20250330_174012_model_5,7418.409760605747,55032803.37625061,3797.024545419749,,55032803.37625061
XGBoost_grid_1_AutoML_5_20250330_174012_model_24,7434.961935531961,55278658.98280916,4209.715086959622,,55278658.98280916
XGBoost_grid_1_AutoML_5_20250330_174012_model_1,7771.624598325055,60398148.89729106,4150.656903247003,,60398148.89729106
DeepLearning_grid_2_AutoML_5_20250330_174012_model_1,8090.382578137979,65454290.260638535,4032.6342563501257,,65454290.260638535
DeepLearning_grid_3_AutoML_5_20250330_174012_model_1,8259.493323851737,68219229.96675143,3696.445211284982,,68219229.96675143
DeepLearning_grid_1_AutoML_5_20250330_174012_model_4,8271.119937656033,68411425.02309114,4952.059004140273,,68411425.02309114
