iter	Passed	Remaining
410	2522	3615
411	2525	3605
412	2529	3595
413	2533	3585
414	2536	3575
415	2540	3566
416	2544	3557
417	2548	3547
418	2554	3541
419	2559	3533
420	2563	3526
421	2567	3517
422	2572	3508
423	2575	3499
424	2579	3490
425	2583	3480
426	2587	3471
427	2590	3462
428	2594	3453
429	2598	3443
430	2601	3434
431	2605	3425
432	2608	3416
433	2612	3407
434	2616	3398
435	2619	3388
436	2623	3379
437	2626	3370
438	2630	3361
439	2633	3351
440	2640	3346
441	2645	3339
442	2650	3331
443	2654	3324
444	2660	3318
445	2665	3310
446	2669	3302
447	2673	3294
448	2677	3285
449	2681	3277
450	2685	3268
451	2689	3260
452	2692	3251
453	2696	3242
454	2699	3234
455	2703	3224
456	2706	3215
457	2709	3206
458	2713	3197
459	2716	3189
460	2720	3180
461	2723	3171
462	2726	3162
463	2730	3153
464	2733	3145
465	2737	3136
466	2740	3128
467	2744	3119
468	2748	3111
469	2751	3103
470	2755	3094
471	2759	3086
472	2763	3078
473	2767	3070
474	2770	3062
475	2774	3054
476	2777	3045
477	2781	3037
478	2785	3029
479	2789	3021
480	2792	3013
481	2796	3005
482	2800	2997
483	2804	2989
484	2813	2987
485	2816	2979
486	2820	2970
487	2823	2962
488	2827	2954
489	2830	2946
490	2834	2938
491	2838	2930
492	2841	2922
493	2845	2914
494	2849	2906
495	2852	2898
496	2856	2891
497	2860	2882
498	2864	2875
499	2867	2867
500	2871	2859
501	2874	2851
502	2877	2843
503	2881	2835
504	2885	2828
505	2889	2820
506	2892	2813
507	2896	2805
508	2900	2797
509	2904	2790
510	2907	2782
511	2911	2774
512	2914	2767
513	2918	2759
514	2921	2751
515	2925	2744
516	2929	2736
517	2933	2729
518	2937	2722
519	2941	2715
520	2945	2707
521	2948	2700
522	2952	2693
523	2956	2686
524	2960	2678
525	2964	2671
526	2967	2663
527	2971	2656
528	2974	2648
529	2978	2641
530	2981	2633
531	2985	2625
532	2988	2618
533	2992	2611
534	2997	2604
535	3000	2597
536	3004	2590
537	3008	2583
538	3011	2576
539	3015	2568
540	3018	2561
541	3022	2553
542	3025	2546
543	3029	2539
544	3032	2532
545	3036	2524
546	3039	2517
547	3043	2510
548	3052	2507
549	3056	2500
550	3059	2493
551	3063	2486
552	3067	2479
553	3070	2471
554	3074	2464
555	3077	2457
556	3080	2450
557	3084	2443
558	3087	2435
559	3092	2430
560	3096	2423
561	3100	2416
562	3104	2409
563	3107	2402
564	3111	2395
565	3114	2388
566	3118	2381
567	3121	2374
568	3125	2367
569	3129	2361
570	3133	2354
571	3136	2347
572	3140	2340
573	3144	2333
574	3148	2326
575	3152	2320
576	3156	2313
577	3160	2307
578	3164	2300
579	3167	2294
