model_id,rmse,mse,mae,rmsle,mean_residual_deviance
DeepLearning_grid_1_AutoML_4_20250401_10305_model_17,6325.64102585196,40013734.38794144,3341.265550974118,,40013734.38794144
StackedEnsemble_AllModels_5_AutoML_4_20250401_10305,6398.242257989654,40937503.99192455,3385.0343871914542,,40937503.99192455
GBM_grid_1_AutoML_4_20250401_10305_model_1,6401.999633202564,40985599.30352576,3552.715648817364,,40985599.30352576
StackedEnsemble_BestOfFamily_5_AutoML_4_20250401_10305,6409.020203071044,41075539.9633728,3518.797010289769,,41075539.9633728
GBM_grid_1_AutoML_4_20250401_10305_model_47,6410.94290669524,41100188.95290601,3711.711711495547,,41100188.95290601
DeepLearning_grid_3_AutoML_4_20250401_10305_model_2,6421.408027871869,41234481.060417295,3464.16835626334,,41234481.060417295
DeepLearning_grid_1_AutoML_4_20250401_10305_model_8,6421.823082365195,41239811.70119841,3732.8971853021576,,41239811.70119841
DeepLearning_grid_1_AutoML_4_20250401_10305_model_18,6425.126046364119,41282244.71166662,3518.732201410974,,41282244.71166662
DeepLearning_grid_3_AutoML_4_20250401_10305_model_3,6427.0970820975135,41307576.90270637,3365.0924580538567,,41307576.90270637
DeepLearning_grid_2_AutoML_4_20250401_10305_model_3,6438.801586212037,41458165.866606645,3542.8132405051483,,41458165.866606645
DeepLearning_grid_1_AutoML_4_20250401_10305_model_4,6480.1065497398295,41991780.89598104,3605.549826690929,,41991780.89598104
DeepLearning_grid_2_AutoML_4_20250401_10305_model_2,6501.967557096841,42275582.11353986,3693.372536177536,,42275582.11353986
GBM_grid_1_AutoML_4_20250401_10305_model_44,6520.893875267484,42522056.93250098,3665.8372309531983,,42522056.93250098
XGBoost_grid_1_AutoML_4_20250401_10305_model_12,6527.859338312299,42612947.54079109,3783.938305682902,,42612947.54079109
XGBoost_grid_1_AutoML_4_20250401_10305_model_9,6547.508628915686,42869869.24572536,3905.960852055997,,42869869.24572536
DeepLearning_grid_1_AutoML_4_20250401_10305_model_7,6559.884623901038,43032086.27889327,3806.089363063968,,43032086.27889327
StackedEnsemble_AllModels_1_AutoML_4_20250401_10305,6572.261901626902,43194626.50357646,3673.482538212572,,43194626.50357646
DeepLearning_grid_1_AutoML_4_20250401_10305_model_19,6624.058855120346,43878155.71609827,4042.949371707463,,43878155.71609827
XGBoost_grid_1_AutoML_4_20250401_10305_model_1,6656.310690874757,44306472.01345359,3383.143144834574,2.7664020281923207,44306472.01345359
XGBoost_grid_1_AutoML_4_20250401_10305_model_5,6692.071517678495,44783821.19772376,3453.620103001701,,44783821.19772376
XGBoost_grid_1_AutoML_4_20250401_10305_model_2,6938.86030515967,48147782.33452055,3742.321656038612,,48147782.33452055
DeepLearning_grid_2_AutoML_4_20250401_10305_model_1,7906.420232570926,62511480.89400689,4655.704719455155,,62511480.89400689
DeepLearning_grid_3_AutoML_4_20250401_10305_model_1,8898.743848494722,79187642.08112264,4239.837954478004,,79187642.08112264
