iter	Logloss
0	0.6640757921
1	0.6388178065
2	0.6152731173
3	0.5943316644
4	0.5747077399
5	0.5571426487
6	0.5432737879
7	0.5289870336
8	0.5142202356
9	0.5037262984
10	0.4936382569
11	0.4852387585
12	0.4773246788
13	0.4682272285
14	0.4590102425
15	0.45261483
16	0.4464540722
17	0.4417806702
18	0.4361857028
19	0.4311359122
20	0.4261261267
21	0.4206490144
22	0.4151902565
23	0.4099596368
24	0.4062365256
25	0.4025332087
26	0.3983476484
27	0.3931276094
28	0.3904550674
29	0.3873035538
30	0.3841932509
31	0.3806180964
32	0.3775996836
33	0.3746716528
34	0.3720006141
35	0.3695584257
36	0.3666164805
37	0.3642670297
38	0.3617194563
39	0.3588949938
40	0.3560950117
41	0.3536897374
42	0.3515085019
43	0.3490337444
44	0.3471435541
45	0.3455896467
46	0.3436213141
47	0.3423837101
48	0.3398727012
49	0.338483572
50	0.3365540804
51	0.3351897278
52	0.3334736524
53	0.3320336102
54	0.3305967586
55	0.328861889
56	0.3268687128
57	0.3256321577
58	0.3247272636
59	0.3234859022
60	0.3223300343
61	0.3208042368
62	0.3189953283
63	0.3176716006
64	0.3165147058
65	0.3153126584
66	0.3139973412
67	0.3127907481
68	0.3109653658
69	0.3100222379
70	0.3087084394
71	0.3072283441
72	0.3062543961
73	0.3052034287
74	0.304065756
75	0.3025217158
76	0.3020906083
77	0.3008982995
78	0.3001363134
79	0.2994669184
80	0.2986662881
81	0.2969792761
82	0.2964041972
83	0.2956200221
84	0.2945238358
85	0.2932453042
86	0.2920851097
87	0.290746205
88	0.2901663364
89	0.2892392009
90	0.2879360419
91	0.2869285122
92	0.2860897973
93	0.2854433039
94	0.2845802132
95	0.2831096945
96	0.2824166594
97	0.281769873
98	0.280076748
99	0.2792487453
100	0.2784658996
101	0.2767630281
102	0.27566929
103	0.2745412717
104	0.2740565925
105	0.2730428613
106	0.272323514
107	0.2715240236
108	0.2706501478
109	0.2702792423
110	0.2695605489
111	0.2686823746
112	0.2679658603
113	0.2662761507
114	0.2655901075
115	0.2648838556
116	0.2644533651
117	0.2638433037
118	0.2631872863
119	0.2626149241
120	0.2611163835
121	0.2608701402
122	0.2601822558
123	0.2594038444
124	0.2582650435
125	0.2573490971
126	0.2566803219
127	0.2553167179
128	0.2540612409
129	0.2533537265
130	0.2530567832
131	0.2524650032
132	0.2511846172
133	0.2506818073
134	0.2491127557
135	0.2484429931
136	0.2470482992
137	0.2463210909
138	0.2455547758
139	0.244796102
140	0.2440299904
141	0.2426945217
142	0.241605405
143	0.2407921375
144	0.2397179139
145	0.2389960091
146	0.2384741208
147	0.2381375034
148	0.2371281568
149	0.2363901197
150	0.2356405013
151	0.2342944396
152	0.2333876222
153	0.2327446959
154	0.2317179568
155	0.2309066352
156	0.2297642005
157	0.2291856667
158	0.2285762436
159	0.2280159851
160	0.2267427365
161	0.225860859
162	0.2247777808
163	0.2240741985
164	0.2234022003
165	0.2225298527
166	0.2221058714
167	0.2210622224
168	0.2196950638
169	0.2185706607
170	0.2176071102
171	0.2164298203
172	0.2157283465
173	0.214725672
174	0.213781111
175	0.2131080135
176	0.2126897236
177	0.2120572163
178	0.2113522217
179	0.2105097245
180	0.2095334108
181	0.208710023
182	0.2081088026
