model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_grid_1_AutoML_6_20250401_12303_model_2,6225.949093551604,38762442.11549604,3297.1982078644787,3.298916937538557,38762442.11549604
GBM_grid_1_AutoML_6_20250401_12303_model_5,6229.322708908831,38804461.41172727,3388.3064163074687,3.3488293836241403,38804461.41172727
GBM_3_AutoML_6_20250401_12303,6229.874497587964,38811336.25569688,3361.553893346312,3.332746263246893,38811336.25569688
GBM_2_AutoML_6_20250401_12303,6230.043563506783,38813442.803192295,3386.552820716239,3.342622033930837,38813442.803192295
XGBoost_2_AutoML_6_20250401_12303,6231.644459332633,38833392.6675311,3297.368121340126,3.294643624371058,38833392.6675311
GBM_grid_1_AutoML_6_20250401_12303_model_15,6234.70953540785,38871602.990905575,3441.4042260070723,3.3695056992440686,38871602.990905575
GBM_grid_1_AutoML_6_20250401_12303_model_13,6235.199291605641,38877710.20603948,3330.7896102312147,3.328214663327696,38877710.20603948
GBM_grid_1_AutoML_6_20250401_12303_model_11,6236.254836320161,38890874.3835266,3440.310089721716,3.3656856894983407,38890874.3835266
GBM_grid_1_AutoML_6_20250401_12303_model_45,6236.290143860396,38891314.75841032,3369.817381989733,3.346982482656001,38891314.75841032
GBM_grid_1_AutoML_6_20250401_12303_model_37,6236.607431820543,38895272.25863922,3382.2957501247515,3.3352739879865414,38895272.25863922
GBM_grid_1_AutoML_6_20250401_12303_model_34,6237.885952073491,38911221.15107581,3405.166082687666,3.3626968828338057,38911221.15107581
GBM_grid_1_AutoML_6_20250401_12303_model_43,6239.269072932173,38928478.5644479,3442.714970642215,3.3644954850752544,38928478.5644479
XGBoost_grid_1_AutoML_6_20250401_12303_model_12,6239.649385529127,38933224.45433401,3303.463982284601,3.2872219469193387,38933224.45433401
DeepLearning_grid_1_AutoML_6_20250401_12303_model_17,6240.025425077782,38937917.305617146,3194.4019126474386,3.191104329604125,38937917.305617146
GBM_grid_1_AutoML_6_20250401_12303_model_39,6240.292230072011,38941247.11669712,3407.1936173612244,3.3622581989678544,38941247.11669712
XGBoost_grid_1_AutoML_6_20250401_12303_model_9,6240.343884807519,38941891.800654605,3453.890913611331,3.3563213594644425,38941891.800654605
GBM_grid_1_AutoML_6_20250401_12303_model_33,6241.91324505018,38961480.95873287,3440.418793348196,3.3733769341644537,38961480.95873287
XGBoost_grid_1_AutoML_6_20250401_12303_model_7,6243.083753977038,38976094.75917203,3380.735636686108,3.330275953799116,38976094.75917203
XGBoost_grid_1_AutoML_6_20250401_12303_model_10,6243.083772623724,38976094.99199768,3380.735926167135,3.330276120836356,38976094.99199768
XGBoost_grid_1_AutoML_6_20250401_12303_model_3,6243.126626414012,38976630.073439606,3380.685831998608,3.330207362585964,38976630.073439606
DeepLearning_grid_3_AutoML_6_20250401_12303_model_2,6243.581985561618,38982316.01042955,3419.0621570796275,3.304062158531948,38982316.01042955
GBM_grid_1_AutoML_6_20250401_12303_model_8,6243.6808985616935,38983551.16306416,3384.556742359697,3.333967604921076,38983551.16306416
GBM_grid_1_AutoML_6_20250401_12303_model_38,6245.151988361427,39001923.357734695,3456.999175299804,3.3618181373276284,39001923.357734695
XGBoost_grid_1_AutoML_6_20250401_12303_model_2,6246.258398483289,39015743.98062302,3270.4100088959294,3.2325348861008627,39015743.98062302
