iter	Logloss
0	0.669330535
1	0.6501692542
2	0.6329078088
3	0.6161622425
4	0.6041344447
5	0.5931863107
6	0.5793797048
7	0.5679165756
8	0.5589507964
9	0.5496141101
10	0.54066913
11	0.5329822868
12	0.5259012848
13	0.5180253773
14	0.5125253111
15	0.503729507
16	0.4982974215
17	0.4924729728
18	0.4872566871
19	0.482867778
20	0.4796899715
21	0.4757036492
22	0.4706144003
23	0.4658899013
24	0.46189589
25	0.4578937208
26	0.4544598662
27	0.4516273567
28	0.4487345051
29	0.4455279864
30	0.4432719071
31	0.4402250785
32	0.4385744329
33	0.4353159598
34	0.4335417531
35	0.4321354971
36	0.4296867044
37	0.4265800552
38	0.4248606617
39	0.4230453948
40	0.4206776449
41	0.4183516058
42	0.4160218418
43	0.4142984081
44	0.412322961
45	0.4100543553
46	0.4086000941
47	0.4067807124
48	0.404773209
49	0.4032363566
50	0.4020293363
51	0.4000460968
52	0.3988532277
53	0.3967968426
54	0.394993986
55	0.3931322114
56	0.3910852424
57	0.3899715307
58	0.3887739596
59	0.3876616766
60	0.3868974098
61	0.3854331329
62	0.3848063343
63	0.3833516623
64	0.3816504418
65	0.3809108454
66	0.3797598475
67	0.3786945388
68	0.3776111714
69	0.3764002369
70	0.3752715207
71	0.373751616
72	0.3728671523
73	0.3711690697
74	0.3698064554
75	0.3688349957
76	0.3673443835
77	0.3659322477
78	0.3644657628
79	0.3634958051
80	0.3627067889
81	0.3619498815
82	0.36110925
83	0.3598455337
84	0.3585140439
85	0.3579379362
86	0.3568744958
87	0.3559168162
88	0.3547083078
89	0.3530189122
90	0.35149805
91	0.3503664549
92	0.3498646934
93	0.3489834754
94	0.3483967065
95	0.3475615916
96	0.3467889397
97	0.3455915307
98	0.3450601768
99	0.3439036407
100	0.3430341187
101	0.3423319158
102	0.3416719864
103	0.3405194934
104	0.3403449272
105	0.3395636112
106	0.33845017
107	0.3372000839
108	0.3365166287
109	0.335687927
110	0.3342105961
111	0.3328861185
112	0.3325877656
113	0.3316232984
114	0.3310730803
115	0.3306017189
116	0.3296296383
117	0.3286032689
118	0.3281445827
119	0.3276039937
120	0.3269979511
121	0.3262810075
122	0.3257327902
123	0.3245293436
124	0.3237149767
125	0.3227228782
126	0.3210880374
127	0.3205648196
128	0.3195227781
129	0.3190592285
130	0.3181302855
131	0.3170161888
132	0.316387697
133	0.3155141364
134	0.3149194236
135	0.3140099085
136	0.3131054891
137	0.3128061961
138	0.3114591999
139	0.3099714532
140	0.3092979418
141	0.3084275397
142	0.307352578
143	0.3062595213
144	0.3054779075
145	0.3047571356
146	0.3038645101
147	0.3028822717
148	0.3019675676
149	0.3013704885
150	0.3008981491
151	0.3002050594
152	0.2993721013
153	0.2986099186
154	0.2976438015
155	0.2969450093
156	0.2967156999
157	0.2959830917
158	0.2955087917
159	0.2943136153
160	0.293759171
161	0.2927955065
162	0.2922753148
163	0.2917159211
164	0.2910573149
165	0.2895803851
166	0.2879157205
167	0.2870370417
168	0.2861394674
169	0.2854762865
170	0.2848474102
171	0.2841965849
172	0.2833114245
173	0.2827812408
174	0.2818259903
175	0.2809534294
176	0.2801943336
177	0.2795374528
178	0.2787969694
179	0.278165703
180	0.2775980696
181	0.2766385372
182	0.2760283844
183	0.2752791726
184	0.2744123467
185	0.2733991717
186	0.2726411482
187	0.2718626
188	0.2709794489
189	0.2705068164
190	0.2696650511
191	0.2689479594
192	0.2684531027
193	0.2675985919
194	0.267176019
195	0.2658655641
196	0.2655498088
197	0.2649975605
198	0.2641880051
199	0.2633765757
200	0.2622870017
201	0.2616791072
202	0.2611277023
203	0.2602579472
204	0.2598443752
205	0.2592250891
206	0.2581063945
207	0.2575485499
208	0.2565372908
209	0.2559729977
210	0.255343829
211	0.2545649118
212	0.2537338809
213	0.2531989586
214	0.2526790627
215	0.2521654438
216	0.2513409698
217	0.2507732174
218	0.2498235106
219	0.2492164888
220	0.2484160937
221	0.2477842841
222	0.2470799962
223	0.2466227726
224	0.2458671019
225	0.2453527792
226	0.2445124674
227	0.2439174516
228	0.2430596021
229	0.2424210244
230	0.2421234291
231	0.2416592868
232	0.2411584475
233	0.2405912734
234	0.2402191115
235	0.2388490261
236	0.2386004371
237	0.2383038511
238	0.2373151236
239	0.236696365
240	0.2362913847
241	0.2356214345
242	0.2352523123
243	0.2347427114
244	0.233488103
245	0.2327401625
246	0.2323140164
247	0.2314264341
248	0.2308650036
249	0.2301766551
250	0.2297412074
251	0.229038531
252	0.2284979311
253	0.228060241
254	0.2275913267
255	0.2268944424
256	0.2264545486
257	0.2259367588
258	0.2255705754
259	0.2250018316
260	0.2247376438
261	0.224640463
262	0.2240275871
263	0.2235135809
264	0.2232570602
265	0.2225338811
266	0.221724667
267	0.2212336413
268	0.2207124704
269	0.2200432185
270	0.219273985
271	0.21860089
272	0.2178661014
273	0.217390327
274	0.2170814541
275	0.2167107781
276	0.216230104
277	0.215884648
278	0.2154343524
279	0.2145717732
