seq_length,molecular_weight,nh3_tail,po3_pos,biotinylated,acylated_n_terminal,cyclic,amidated,stearyl_uptake,hexahistidine_tagged,aromaticity,instability_index,isoelectric_point,helix_fraction,turn_fraction,sheet_fraction,molar_extinction_coefficient_reduced,molar_extinction_coefficient_oxidized,gravy,is_cpp
27.0,3379.9222999999997,0,0,0,0,0,0,0,0,0.037037037037037035,137.88518518518515,11.999967765808105,0.18518518518518517,0.1111111111111111,0.14814814814814814,0.0,125.0,-1.4,1
16.0,1546.9778000000001,0,0,0,0,0,0,0,0,0.0,33.45,8.795051002502444,0.8125,0.0625,0.5,0.0,0.0,2.28125,1
26.0,2680.2981999999997,0,0,0,0,0,0,0,0,0.038461538461538464,21.165384615384617,9.200299263000488,0.6538461538461539,0.19230769230769232,0.42307692307692313,0.0,0.0,1.1807692307692308,1
26.0,2710.3241999999996,0,0,0,0,0,0,0,0,0.038461538461538464,38.065384615384616,9.11629695892334,0.6923076923076923,0.15384615384615385,0.42307692307692313,1490.0,1490.0,1.023076923076923,1
25.0,2552.1259,0,0,0,0,0,0,0,0,0.04,21.612000000000002,8.24113864898682,0.64,0.2,0.44,0.0,0.0,1.3840000000000001,1
25.0,2582.1519,0,0,0,0,0,0,0,0,0.04,39.188,8.21838130950928,0.68,0.16,0.44,1490.0,1490.0,1.22,1
16.0,1515.9207000000001,0,0,0,0,0,0,0,0,0.0,45.4875,5.57001667022705,0.75,0.125,0.5,0.0,0.0,2.425,1
41.0,4437.2438,0,0,0,0,0,0,0,0,0.12195121951219512,48.048780487804876,6.183138847351074,0.5365853658536586,0.24390243902439027,0.4390243902439025,5960.0,5960.0,0.7756097560975609,1
28.0,3159.8683,0,0,0,0,0,0,0,0,0.0,128.1142857142857,11.999967765808105,0.5,0.14285714285714288,0.2857142857142857,0.0,0.0,-0.22142857142857147,1
29.0,3263.0112,0,0,0,0,0,0,0,0,0.0,121.44137931034481,11.999967765808105,0.48275862068965514,0.13793103448275862,0.27586206896551724,0.0,0.0,-0.12758620689655176,1
22.0,2453.0348999999997,0,0,0,0,0,0,0,0,0.0,162.56363636363636,11.999967765808105,0.5454545454545454,0.09090909090909091,0.36363636363636365,0.0,0.0,0.5363636363636363,1
28.0,2765.2504,0,0,0,0,0,0,0,0,0.03571428571428572,42.735714285714295,6.0040391921997065,0.5357142857142857,0.28571428571428575,0.39285714285714285,1490.0,1490.0,1.0535714285714286,1
25.0,2625.3091999999997,0,0,0,0,0,0,0,0,0.0,64.052,11.166391563415527,0.64,0.12,0.4,0.0,0.0,1.112,1
26.0,2781.4948999999997,0,0,0,0,0,0,0,0,0.0,72.82692307692308,11.999967765808105,0.6153846153846154,0.11538461538461538,0.3846153846153846,0.0,0.0,0.8961538461538462,1
43.0,4601.2910999999995,0,0,0,0,0,0,0,0,0.09302325581395349,34.8093023255814,4.0500284194946286,0.5813953488372093,0.16279069767441862,0.46511627906976744,0.0,0.0,0.944186046511628,1
12.0,1147.4497,0,0,0,0,0,0,0,0,0.0,57.31666666666667,5.57001667022705,0.6666666666666667,0.16666666666666669,0.5,0.0,0.0,2.3000000000000003,1
21.0,2281.8278999999998,0,0,0,0,0,0,0,0,0.0,76.03333333333332,11.999967765808105,0.5238095238095238,0.14285714285714288,0.380952380952381,0.0,0.0,0.48571428571428565,1
21.0,2210.7864,0,0,0,0,0,0,0,0,0.047619047619047616,6.566666666666666,10.176995277404785,0.8095238095238095,0.047619047619047616,0.4285714285714286,1490.0,1490.0,1.1428571428571428,1
14.0,1281.2871999999998,0,0,0,0,0,0,0,0,0.0,63.93571428571429,4.0500284194946286,0.14285714285714288,0.6428571428571429,0.07142857142857144,0.0,125.0,-0.85,1
17.0,1734.9951999999998,0,0,0,0,0,0,0,0,0.0,10.28823529411764,11.700963401794432,0.05882352941176471,0.411764705882353,0.0,0.0,125.0,-1.2058823529411764,1
6.0,548.6102999999999,0,0,0,0,0,0,0,0,0.0,101.10000000000001,4.0500284194946286,0.5,0.33333333333333337,0.16666666666666669,0.0,0.0,0.6333333333333333,0
17.0,1596.7784,0,0,0,0,0,0,0,0,0.0,20.27647058823529,10.438543510437011,0.05882352941176471,0.5294117647058824,0.0,0.0,125.0,-0.7705882352941176,1
